DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-04,00:00,FPC0,PIC0:,300728611512,22037188147,237391093,94358616
2021-04-04,00:00,FPC0,PIC1:,609613651320,47450250890,478656457,194761967
2021-04-04,00:05,FPC0,PIC0:,294924143200,21743074905,233622236,93233441
2021-04-04,00:05,FPC0,PIC1:,599781044328,47226010984,472049369,193365142
2021-04-04,00:10,FPC0,PIC0:,294782764040,21091241481,232752655,91909977
2021-04-04,00:10,FPC0,PIC1:,597032150496,47627896898,469084258,191288590
2021-04-04,00:15,FPC0,PIC0:,296819564200,21613183824,233966983,92618097
2021-04-04,00:15,FPC0,PIC1:,604621477280,47368390077,473735464,190847918
2021-04-04,00:20,FPC0,PIC0:,285121813840,20555874744,223730482,88333552
2021-04-04,00:20,FPC0,PIC1:,563636850248,42182836027,440942425,176377662
2021-04-04,00:25,FPC0,PIC0:,271328987136,19305366580,213264318,84124865
2021-04-04,00:25,FPC0,PIC1:,543419348544,41004487245,425583660,171053045
2021-04-04,00:30,FPC0,PIC0:,256588823800,18615501139,201822225,80213767
2021-04-04,00:30,FPC0,PIC1:,527663731936,38183508737,411412424,164211094
2021-04-04,00:35,FPC0,PIC0:,249402352664,18218781399,195392781,78242895
2021-04-04,00:35,FPC0,PIC1:,503935013136,37169689980,394723116,158011286
2021-04-04,00:40,FPC0,PIC0:,252724977376,18120113854,196759964,78890462
2021-04-04,00:40,FPC0,PIC1:,494495788312,37022264053,386394075,154118296
2021-04-04,00:45,FPC0,PIC0:,245480193096,17700729796,192017513,76490083
2021-04-04,00:45,FPC0,PIC1:,490839675464,35878778687,382881889,150504663
2021-04-04,00:50,FPC0,PIC0:,248633325824,17548086272,195030734,77468252
2021-04-04,00:50,FPC0,PIC1:,492268211144,36997518027,385023629,151606997
2021-04-04,00:55,FPC0,PIC0:,243618001808,16830803246,191450996,74186503
2021-04-04,00:55,FPC0,PIC1:,481063572368,35764711354,375607500,146088200
2021-04-04,01:00,FPC0,PIC0:,226459544792,16266749680,177939481,69914454
2021-04-04,01:00,FPC0,PIC1:,451932586128,33274380753,353099202,137860761
2021-04-04,01:05,FPC0,PIC0:,224174577152,16035728369,175383708,69051875
2021-04-04,01:05,FPC0,PIC1:,456557244352,33913797784,356080866,137966739
2021-04-04,01:10,FPC0,PIC0:,217176221552,15468770943,169358028,66524357
2021-04-04,01:10,FPC0,PIC1:,436202890608,33007897204,340404104,132586459
2021-04-04,01:15,FPC0,PIC0:,209555039912,15491314467,163925161,65263125
2021-04-04,01:15,FPC0,PIC1:,424553767280,29971967553,330857530,127433116
2021-04-04,01:20,FPC0,PIC0:,200258045576,15244365872,156588593,62351837
2021-04-04,01:20,FPC0,PIC1:,414669755376,29400896257,322980140,124315001
2021-04-04,01:25,FPC0,PIC0:,190780027200,13795790679,149070968,58520995
2021-04-04,01:25,FPC0,PIC1:,399001894256,29467741298,310256470,123706491
2021-04-04,01:30,FPC0,PIC0:,182951118456,13065931801,142766181,56249895
2021-04-04,01:30,FPC0,PIC1:,375145390704,25525224515,292288414,112886928
2021-04-04,01:35,FPC0,PIC0:,174535300760,12399852031,136144615,54062975
2021-04-04,01:35,FPC0,PIC1:,356150305664,25347505846,278331894,109362305
2021-04-04,01:40,FPC0,PIC0:,166856968488,10971571954,130325769,51211353
2021-04-04,01:40,FPC0,PIC1:,338288389480,23935752568,264515269,102788611
2021-04-04,01:45,FPC0,PIC0:,157856618520,10510298786,123645407,49613286
2021-04-04,01:45,FPC0,PIC1:,328434879264,22095078476,256978598,99663070
2021-04-04,01:50,FPC0,PIC0:,149048605696,10718938244,117260266,47268987
2021-04-04,01:50,FPC0,PIC1:,311451268736,21330452143,244414566,95589244
2021-04-04,01:55,FPC0,PIC0:,142372402784,10512152122,111916182,45324541
2021-04-04,01:55,FPC0,PIC1:,293529983040,20894741761,231016100,91079192
2021-04-04,02:00,FPC0,PIC0:,136355143704,10491703380,107382319,43967541
2021-04-04,02:00,FPC0,PIC1:,284758628632,20074642743,223821561,87341152
2021-04-04,02:05,FPC0,PIC0:,133005881864,11354013628,105446285,44072739
2021-04-04,02:05,FPC0,PIC1:,275507231024,20824270822,217094920,87589308
2021-04-04,02:10,FPC0,PIC0:,125476728264,11359231704,100208559,42598023
2021-04-04,02:10,FPC0,PIC1:,261050320528,20389938206,206279632,82381982
2021-04-04,02:15,FPC0,PIC0:,121401774776,12036671190,97556907,41930431
2021-04-04,02:15,FPC0,PIC1:,254442380520,22122506945,201293331,82508726
2021-04-04,02:20,FPC0,PIC0:,112436005112,11333983289,90419021,39802181
2021-04-04,02:20,FPC0,PIC1:,245125123120,21262869378,194193292,79701507
2021-04-04,02:25,FPC0,PIC0:,107109281096,10927900214,86620405,38464976
2021-04-04,02:25,FPC0,PIC1:,234783575248,20833481125,185836008,76959858
2021-04-04,02:30,FPC0,PIC0:,103598779032,9488316645,82910115,35821799
2021-04-04,02:30,FPC0,PIC1:,221475957504,21118971635,176743928,74663100
2021-04-04,02:35,FPC0,PIC0:,103416628544,9986654035,82327130,35611272
2021-04-04,02:35,FPC0,PIC1:,218751091624,22072828444,174742347,74619111
2021-04-04,02:40,FPC0,PIC0:,101891964888,9027267150,80441335,34686236
2021-04-04,02:40,FPC0,PIC1:,207029741296,20804540638,165834462,71492356
2021-04-04,02:45,FPC0,PIC0:,100708705416,9584321758,80021061,34792504
2021-04-04,02:45,FPC0,PIC1:,198154053976,20729787459,159141307,69345590
2021-04-04,02:50,FPC0,PIC0:,91493654880,9078140227,73281414,32578731
2021-04-04,02:50,FPC0,PIC1:,191640095552,19101583411,154420366,66953468
2021-04-04,02:55,FPC0,PIC0:,89339610568,8985462559,71677343,31930725
2021-04-04,02:55,FPC0,PIC1:,185675187248,18572993375,149955368,65660446
2021-04-04,03:00,FPC0,PIC0:,83867510616,8908358604,67953117,30210304
2021-04-04,03:00,FPC0,PIC1:,176485587512,18685629662,143482825,64213835
2021-04-04,03:05,FPC0,PIC0:,84431909080,8486160777,68567847,29993064
2021-04-04,03:05,FPC0,PIC1:,174622307752,18638348841,142358167,63584557
2021-04-04,03:10,FPC0,PIC0:,79633936328,7208128063,64348087,27824984
2021-04-04,03:10,FPC0,PIC1:,164454317304,17446466605,134159561,60359514
2021-04-04,03:15,FPC0,PIC0:,77683080984,9176316210,63326743,28806710
2021-04-04,03:15,FPC0,PIC1:,157956365216,16570817806,129002830,58294745
2021-04-04,03:20,FPC0,PIC0:,73468572000,7262097574,59934698,26609467
2021-04-04,03:20,FPC0,PIC1:,155455548768,15016533290,127029684,56735336
2021-04-04,03:25,FPC0,PIC0:,71752982928,7209740485,58663150,26257917
2021-04-04,03:25,FPC0,PIC1:,156607855280,16497043803,127834692,57701924
2021-04-04,03:30,FPC0,PIC0:,71065792288,7192803135,57920446,26117130
2021-04-04,03:30,FPC0,PIC1:,144184797288,16669152785,119193129,55108397
2021-04-04,03:35,FPC0,PIC0:,65280786632,7914424784,54064873,25577193
2021-04-04,03:35,FPC0,PIC1:,135131427104,14780638680,111518056,51849819
2021-04-04,03:40,FPC0,PIC0:,62479587280,6912834948,51996978,24720228
2021-04-04,03:40,FPC0,PIC1:,134090173800,14532863845,110437933,50722766
2021-04-04,03:45,FPC0,PIC0:,57562301480,6110386456,47730309,22390475
2021-04-04,03:45,FPC0,PIC1:,129837402776,15534313329,107878075,50028874
2021-04-04,03:50,FPC0,PIC0:,56520638048,6355074439,47066152,22498483
2021-04-04,03:50,FPC0,PIC1:,128529757152,15292855206,106171002,49197873
2021-04-04,03:55,FPC0,PIC0:,55154409736,5625283604,45595699,21302264
2021-04-04,03:55,FPC0,PIC1:,120928861784,14377484948,100492957,47449825
2021-04-04,04:00,FPC0,PIC0:,52355526640,7059353930,44369916,21505439
2021-04-04,04:00,FPC0,PIC1:,121639163536,12775471432,99861860,46460224
2021-04-04,04:05,FPC0,PIC0:,50124262104,7170881181,43054873,21056364
2021-04-04,04:05,FPC0,PIC1:,119053562536,13285830753,98377951,46067937
2021-04-04,04:10,FPC0,PIC0:,48122985528,6175474493,41231279,20123695
2021-04-04,04:10,FPC0,PIC1:,113499840792,15268310509,95167247,46376048
2021-04-04,04:15,FPC0,PIC0:,48879208864,5934315920,41804268,19844623
2021-04-04,04:15,FPC0,PIC1:,108501438864,12883187265,90880426,43846948
2021-04-04,04:20,FPC0,PIC0:,48250584648,5969266381,40860853,19988967
2021-04-04,04:20,FPC0,PIC1:,106359538568,14093072732,89464469,44428749
2021-04-04,04:25,FPC0,PIC0:,47491697096,6201276185,40532075,19981259
2021-04-04,04:25,FPC0,PIC1:,102819901232,13174586094,86928806,43086105
2021-04-04,04:30,FPC0,PIC0:,45309786232,5660276311,38643573,19130169
2021-04-04,04:30,FPC0,PIC1:,97547708296,12834021982,83165661,41683254
2021-04-04,04:35,FPC0,PIC0:,44886362264,5561154552,38590353,18824898
2021-04-04,04:35,FPC0,PIC1:,97139318856,13471577625,82924099,42276284
2021-04-04,04:40,FPC0,PIC0:,44482732488,5576377475,38102313,18603894
2021-04-04,04:40,FPC0,PIC1:,92020405896,12353569560,79204567,40163848
2021-04-04,04:45,FPC0,PIC0:,42839916928,6419156402,37520182,19089587
2021-04-04,04:45,FPC0,PIC1:,91567791264,12570888071,78898590,39978503
2021-04-04,04:50,FPC0,PIC0:,43592687304,5898440184,37794229,18605708
2021-04-04,04:50,FPC0,PIC1:,86108070400,12629096531,75283124,39636407
2021-04-04,04:55,FPC0,PIC0:,43438363032,5783261617,37165335,18462068
2021-04-04,04:55,FPC0,PIC1:,86570076808,13653510027,76367127,40312231
2021-04-04,05:00,FPC0,PIC0:,43022828864,5664860484,37310556,18895377
2021-04-04,05:00,FPC0,PIC1:,86092400400,14171661986,75802466,40210916
2021-04-04,05:05,FPC0,PIC0:,43254575368,5342687919,37334433,18677008
2021-04-04,05:05,FPC0,PIC1:,83028789800,13410397165,73751403,39504723
2021-04-04,05:10,FPC0,PIC0:,39597351624,5822998105,35399949,18144184
2021-04-04,05:10,FPC0,PIC1:,84404223840,13104829139,74281918,39838706
2021-04-04,05:15,FPC0,PIC0:,41054498160,5287713163,36073470,18114045
2021-04-04,05:15,FPC0,PIC1:,82033315544,12253696997,71530107,38087401
2021-04-04,05:20,FPC0,PIC0:,42813368112,5474412090,37456340,18439514
2021-04-04,05:20,FPC0,PIC1:,83456315040,11493795097,72335206,37862163
2021-04-04,05:25,FPC0,PIC0:,41449693840,5460715213,36455156,18752452
2021-04-04,05:25,FPC0,PIC1:,83262812472,11724681303,72675965,38519035
2021-04-04,05:30,FPC0,PIC0:,39273938672,4871963179,34694938,17773104
2021-04-04,05:30,FPC0,PIC1:,86925050848,11582925212,74876936,38535846
2021-04-04,05:35,FPC0,PIC0:,39579072544,5586180622,34786734,18316023
2021-04-04,05:35,FPC0,PIC1:,81274389824,13103169486,71623872,39103461
2021-04-04,05:40,FPC0,PIC0:,41539487120,5546102739,35952422,18699204
2021-04-04,05:40,FPC0,PIC1:,79067491080,13815255332,70788431,39158041
2021-04-04,05:45,FPC0,PIC0:,40754036592,5228607414,35333532,18218977
2021-04-04,05:45,FPC0,PIC1:,78778068240,13775549146,70732470,38657626
2021-04-04,05:50,FPC0,PIC0:,40844542624,6356891476,36100720,19223552
2021-04-04,05:50,FPC0,PIC1:,84487168216,14193903848,74560249,40115821
2021-04-04,05:55,FPC0,PIC0:,41818150056,6060904069,36410903,19142366
2021-04-04,05:55,FPC0,PIC1:,84486709400,13022261527,74254863,39117835
2021-04-04,06:00,FPC0,PIC0:,39818856040,5215130512,34863079,18287142
2021-04-04,06:00,FPC0,PIC1:,83031843048,13470036576,73675193,39009145
2021-04-04,06:05,FPC0,PIC0:,39321006736,5518986470,34893210,18579958
2021-04-04,06:05,FPC0,PIC1:,86849057544,11818425007,75984793,39415837
2021-04-04,06:10,FPC0,PIC0:,42822376704,6090060115,37600560,19512476
2021-04-04,06:10,FPC0,PIC1:,86799775864,12041831454,76447439,40189480
2021-04-04,06:15,FPC0,PIC0:,44380433912,5676485142,38752691,19695086
2021-04-04,06:15,FPC0,PIC1:,89243296712,12299055107,78140663,40803037
2021-04-04,06:20,FPC0,PIC0:,44643563208,4950234784,38666495,19111476
2021-04-04,06:20,FPC0,PIC1:,94486955128,11972148339,81515127,41320388
2021-04-04,06:25,FPC0,PIC0:,46433908400,4845068055,39802696,19245304
2021-04-04,06:25,FPC0,PIC1:,95758414592,11307829687,82491976,41040312
2021-04-04,06:30,FPC0,PIC0:,46811932624,4327446455,39946620,19040715
2021-04-04,06:30,FPC0,PIC1:,97323803680,10143121127,82960818,40233523
2021-04-04,06:35,FPC0,PIC0:,49849061960,4963973216,42558911,20671282
2021-04-04,06:35,FPC0,PIC1:,104295573448,11831865185,88748535,44706766
2021-04-04,06:40,FPC0,PIC0:,49473570160,4966433757,42033246,20675366
2021-04-04,06:40,FPC0,PIC1:,109422773416,12210648861,92851017,44688205
2021-04-04,06:45,FPC0,PIC0:,53022575448,6067289755,44858203,21725223
2021-04-04,06:45,FPC0,PIC1:,112092662656,13239235294,95597548,46026970
2021-04-04,06:50,FPC0,PIC0:,56360171944,5242551628,47049191,22024779
2021-04-04,06:50,FPC0,PIC1:,121482233384,13452314375,102651927,48040489
2021-04-04,06:55,FPC0,PIC0:,56777607264,6192535299,47741774,22885109
2021-04-04,06:55,FPC0,PIC1:,127231454128,12743545825,106844144,49260436
2021-04-04,07:00,FPC0,PIC0:,63149877776,5862954042,52189394,23957187
2021-04-04,07:00,FPC0,PIC1:,130602341952,13530698754,109867020,50815981
2021-04-04,07:05,FPC0,PIC0:,66251668592,5925471202,54745888,24908269
2021-04-04,07:05,FPC0,PIC1:,134136417704,14823128830,113553209,53074520
2021-04-04,07:10,FPC0,PIC0:,69979649760,6097430208,57903778,26028858
2021-04-04,07:10,FPC0,PIC1:,141949577888,13748538533,119172892,53542372
2021-04-04,07:15,FPC0,PIC0:,76079517416,6648427238,62711453,27723862
2021-04-04,07:15,FPC0,PIC1:,149446006392,14976458646,125185451,56630603
2021-04-04,07:20,FPC0,PIC0:,77500855272,7511873428,64370043,27917557
2021-04-04,07:20,FPC0,PIC1:,164155063720,16538021169,136467165,60398860
2021-04-04,07:25,FPC0,PIC0:,80310969872,7082033991,66598220,28579440
2021-04-04,07:25,FPC0,PIC1:,165516271504,16987576705,138648210,61415881
2021-04-04,07:30,FPC0,PIC0:,86033467208,8024567959,70869127,29807446
2021-04-04,07:30,FPC0,PIC1:,186039105744,18532508827,154420766,66340654
2021-04-04,07:35,FPC0,PIC0:,89842918872,8314138702,74131373,31240495
2021-04-04,07:35,FPC0,PIC1:,196374569064,18501865521,162613065,68097275
2021-04-04,07:40,FPC0,PIC0:,93617018704,8415492583,77102034,31900546
2021-04-04,07:40,FPC0,PIC1:,200973787040,18114029224,165555838,69872280
2021-04-04,07:45,FPC0,PIC0:,99855280120,8637141499,82141653,33636494
2021-04-04,07:45,FPC0,PIC1:,215405477464,19025307314,176629671,73717263
2021-04-04,07:50,FPC0,PIC0:,104149984304,9783827170,86283646,36288342
2021-04-04,07:50,FPC0,PIC1:,226191126040,20919502283,185540321,79110010
2021-04-04,07:55,FPC0,PIC0:,109068226496,10116579216,89912996,37292805
2021-04-04,07:55,FPC0,PIC1:,242835974472,21864395085,198419755,83408715
2021-04-04,08:00,FPC0,PIC0:,113743403080,10795595307,93627399,39125769
2021-04-04,08:00,FPC0,PIC1:,253485649200,22152176987,207103346,86754927
