DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-06,00:00,FPC0,PIC0:,180800944312,13641899656,145266873,55458840
2021-04-06,00:00,FPC0,PIC1:,359346609016,27130016967,289745151,108952273
2021-04-06,00:00,FPC1,PIC0:,363545344168,28716790391,292690133,112552744
2021-04-06,00:00,FPC1,PIC1:,326468880808,25347918411,263349657,101344981
2021-04-06,00:05,FPC0,PIC0:,184126353952,13695441808,147798784,56045030
2021-04-06,00:05,FPC0,PIC1:,360672496736,27466720260,291675448,108874112
2021-04-06,00:05,FPC1,PIC0:,368933193808,29829694423,297072506,114201357
2021-04-06,00:05,FPC1,PIC1:,336684433984,26311158000,270748680,103427334
2021-04-06,00:10,FPC0,PIC0:,183386445952,13129793363,145467064,53907107
2021-04-06,00:10,FPC0,PIC1:,345893766992,26113788812,279043274,102392502
2021-04-06,00:10,FPC1,PIC0:,356744123864,27929849197,285575731,107450357
2021-04-06,00:10,FPC1,PIC1:,319756034104,24480950780,255913499,96335894
2021-04-06,00:15,FPC0,PIC0:,177127041112,11627773189,139805499,51444500
2021-04-06,00:15,FPC0,PIC1:,333403993544,24956684690,266372483,98913161
2021-04-06,00:15,FPC1,PIC0:,344181356416,26312639670,274659860,103219888
2021-04-06,00:15,FPC1,PIC1:,305679720784,23772429493,244746256,93013773
2021-04-06,00:20,FPC0,PIC0:,172263420120,11985758249,136113581,49707773
2021-04-06,00:20,FPC0,PIC1:,319557664280,23737576535,255773361,94232145
2021-04-06,00:20,FPC1,PIC0:,339415396760,25217431434,270709693,101165648
2021-04-06,00:20,FPC1,PIC1:,299776574960,22579194099,239665028,89627603
2021-04-06,00:25,FPC0,PIC0:,164876999432,11142571248,130464567,47713785
2021-04-06,00:25,FPC0,PIC1:,310509711176,23739894890,249244133,91356391
2021-04-06,00:25,FPC1,PIC0:,322975834520,24310048791,258232099,96517823
2021-04-06,00:25,FPC1,PIC1:,286498726616,21599935329,228347683,85244144
2021-04-06,00:30,FPC0,PIC0:,158633296160,11134967640,125664386,46104233
2021-04-06,00:30,FPC0,PIC1:,296451423832,25516950295,238990083,89333818
