DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-03-31,11:30,FPC0,PIC0:,18900391902808,2261796043250,17926359589,8173059508
2021-03-31,11:30,FPC0,PIC1:,40075296732568,4743335644155,37653417043,17110793376
2021-03-31,11:35,FPC0,PIC0:,229533213328,37347689744,255542236,123477645
2021-03-31,11:35,FPC0,PIC1:,480912883784,75937881941,529729039,253101412
2021-03-31,11:40,FPC0,PIC0:,229189655200,36403105010,253909378,121853561
2021-03-31,11:40,FPC0,PIC1:,486839080496,76792124978,534143262,253580022
2021-03-31,11:45,FPC0,PIC0:,229592395440,35766342589,252485314,120503907
2021-03-31,11:45,FPC0,PIC1:,488669375640,77380940487,535534345,254516506
2021-03-31,11:50,FPC0,PIC0:,223011884016,34601939166,246397430,118100241
2021-03-31,11:50,FPC0,PIC1:,479728768248,75668175125,522204105,249700934
2021-03-31,11:55,FPC0,PIC0:,226761993816,34083613296,244653661,118019340
2021-03-31,11:55,FPC0,PIC1:,485414949000,75641638484,520076847,248200208
2021-03-31,12:00,FPC0,PIC0:,221851702752,32069126702,237783982,114991894
2021-03-31,12:00,FPC0,PIC1:,475120299592,70244432067,504486541,241147257
2021-03-31,12:05,FPC0,PIC0:,222318027160,32935606052,237422479,115941320
2021-03-31,12:05,FPC0,PIC1:,476088854448,69598481736,503111116,241941745
2021-03-31,12:10,FPC0,PIC0:,228170169248,33264560922,241854396,118418067
2021-03-31,12:10,FPC0,PIC1:,474668201840,68887887068,500370758,240614846
2021-03-31,12:15,FPC0,PIC0:,229000092032,32517070102,242967610,117644871
2021-03-31,12:15,FPC0,PIC1:,490818655456,70066980588,511860314,243628198
2021-03-31,12:20,FPC0,PIC0:,234380816968,33440946894,246557485,118675759
2021-03-31,12:20,FPC0,PIC1:,487645829304,68490221649,507437333,241010722
2021-03-31,12:25,FPC0,PIC0:,230305476200,33717083663,242448325,115776741
2021-03-31,12:25,FPC0,PIC1:,494556924664,65908909733,510170773,239621514
2021-03-31,12:30,FPC0,PIC0:,231341935152,33893659250,241342092,114896561
2021-03-31,12:30,FPC0,PIC1:,502958641736,66809098140,511834639,239530776
2021-03-31,12:35,FPC0,PIC0:,229154006184,32508604394,237391803,112228151
2021-03-31,12:35,FPC0,PIC1:,511171092944,66895191151,513229788,240373724
2021-03-31,12:40,FPC0,PIC0:,237207924432,31616492391,241247214,112528618
2021-03-31,12:40,FPC0,PIC1:,510039456976,66992585685,509405284,238803356
2021-03-31,12:45,FPC0,PIC0:,238906439344,31465692851,241636934,112601166
2021-03-31,12:45,FPC0,PIC1:,504152114864,66688303809,503351688,237949212
2021-03-31,12:50,FPC0,PIC0:,238311409488,30007124384,237484582,110390594
2021-03-31,12:50,FPC0,PIC1:,506858522648,68398936381,502073437,238190978
2021-03-31,12:55,FPC0,PIC0:,240761042288,29706188972,235505254,109106109
2021-03-31,12:55,FPC0,PIC1:,508310151504,64474968719,492700342,230870990
2021-03-31,13:00,FPC0,PIC0:,235000820416,27488230643,227134894,106067578
2021-03-31,13:00,FPC0,PIC1:,508052403584,62513933150,483977534,226831857
2021-03-31,13:05,FPC0,PIC0:,226776561392,27188314596,217159598,102844889
2021-03-31,13:05,FPC0,PIC1:,505880443488,61047007392,475677030,223360524
2021-03-31,13:10,FPC0,PIC0:,229513914816,26327237737,216057852,101958561
2021-03-31,13:10,FPC0,PIC1:,506851096880,60929621377,471905526,221420618
2021-03-31,13:15,FPC0,PIC0:,235936854144,26057948555,219550368,102757709
2021-03-31,13:15,FPC0,PIC1:,505466957424,59386525942,467449492,218948331
2021-03-31,13:20,FPC0,PIC0:,234824354376,24938968070,216616103,100552297
2021-03-31,13:20,FPC0,PIC1:,506850432552,60452307644,465728733,218730712
2021-03-31,13:25,FPC0,PIC0:,238572762336,24077127209,218314406,100674757
2021-03-31,13:25,FPC0,PIC1:,497071290520,58594812431,455430543,214233402
2021-03-31,13:30,FPC0,PIC0:,242175896720,24615475652,220385978,100544507
2021-03-31,13:30,FPC0,PIC1:,505662183464,59843015540,461058553,215428918
2021-03-31,13:35,FPC0,PIC0:,237657803992,24654753062,215672565,99287664
2021-03-31,13:35,FPC0,PIC1:,501449548008,58748904885,455752699,211906649
2021-03-31,13:40,FPC0,PIC0:,242644798440,23857463063,218423729,99679209
2021-03-31,13:40,FPC0,PIC1:,500632382952,57120012726,453268863,211005750
2021-03-31,13:45,FPC0,PIC0:,244024179616,24204032075,219816282,101210306
2021-03-31,13:45,FPC0,PIC1:,505849559824,57201063909,456641340,212594004
2021-03-31,13:50,FPC0,PIC0:,243634350352,24484835770,218964614,101710900
2021-03-31,13:50,FPC0,PIC1:,501211621496,54942068358,451129497,209748825
2021-03-31,13:55,FPC0,PIC0:,240933416888,25591207378,217304853,101911795
2021-03-31,13:55,FPC0,PIC1:,499701791744,53561425953,446528458,207561577
2021-03-31,14:00,FPC0,PIC0:,263319280824,26386551949,237116693,103498506
2021-03-31,14:00,FPC0,PIC1:,497928058872,52075229449,446734163,209044461
2021-03-31,14:05,FPC0,PIC0:,239715846304,27887915522,219186224,106177248
2021-03-31,14:05,FPC0,PIC1:,500523794072,56836338706,455713259,214425556
2021-03-31,14:10,FPC0,PIC0:,239187315992,26481157867,219968319,105072934
2021-03-31,14:10,FPC0,PIC1:,515376346272,58907665596,469710088,219818812
2021-03-31,14:15,FPC0,PIC0:,239589652720,26693396889,220909376,105320152
2021-03-31,14:15,FPC0,PIC1:,509080813648,59393325145,467726646,222178545
2021-03-31,14:20,FPC0,PIC0:,234305922848,26802781889,217369948,104997675
2021-03-31,14:20,FPC0,PIC1:,514546757544,60985396768,474902441,223885111
2021-03-31,14:25,FPC0,PIC0:,237157475800,26199763502,220156481,105171492
2021-03-31,14:25,FPC0,PIC1:,505618364200,61382693645,469543437,222332083
2021-03-31,14:30,FPC0,PIC0:,240776551888,26614477036,223203678,105698204
2021-03-31,14:30,FPC0,PIC1:,505509955168,59583345862,470300620,222479216
2021-03-31,14:35,FPC0,PIC0:,239854239872,28696303826,226062028,109047618
2021-03-31,14:35,FPC0,PIC1:,535388240048,61380004876,503331814,227851938
2021-03-31,14:40,FPC0,PIC0:,244336016896,28855271592,230537714,108807921
2021-03-31,14:40,FPC0,PIC1:,514545495584,63190253402,487357052,229278655
2021-03-31,14:45,FPC0,PIC0:,240748281184,29393159568,229560620,109316239
2021-03-31,14:45,FPC0,PIC1:,514249966256,63388301003,487211838,228950979
2021-03-31,14:50,FPC0,PIC0:,238135453200,28935406398,227253932,108272494
2021-03-31,14:50,FPC0,PIC1:,504281131768,62423035298,479367693,227211611
2021-03-31,14:55,FPC0,PIC0:,245635865728,29235817991,231985504,110824537
2021-03-31,14:55,FPC0,PIC1:,529744886232,61158689429,500342989,226954967
2021-03-31,15:00,FPC0,PIC0:,240144178608,29997703653,228515190,110302356
2021-03-31,15:00,FPC0,PIC1:,511202911664,63402428117,482465750,229948771
2021-03-31,15:05,FPC0,PIC0:,240286273272,30480364598,232254753,111302947
2021-03-31,15:05,FPC0,PIC1:,513960435504,67034298663,490019474,235626149
2021-03-31,15:10,FPC0,PIC0:,241512316744,31244057355,234286133,112611603
2021-03-31,15:10,FPC0,PIC1:,520402726872,68763788063,497995705,238151216
2021-03-31,15:15,FPC0,PIC0:,237648248624,30397546615,232188978,111530645
2021-03-31,15:15,FPC0,PIC1:,517346346904,70781072830,497232823,239103065
2021-03-31,15:20,FPC0,PIC0:,233750754544,30601236129,228443484,111859952
2021-03-31,15:20,FPC0,PIC1:,512997266992,67925788595,493444128,237049713
2021-03-31,15:25,FPC0,PIC0:,235028630560,29146482198,227541192,110059357
2021-03-31,15:25,FPC0,PIC1:,514733220488,67299093736,494096847,238751483
2021-03-31,15:30,FPC0,PIC0:,233883455928,28866201675,226076727,110749925
2021-03-31,15:30,FPC0,PIC1:,515483743936,66303481129,494621096,235854187
2021-03-31,15:35,FPC0,PIC0:,233295139728,29424414895,227703782,111342891
2021-03-31,15:35,FPC0,PIC1:,542693116688,66860146971,520423336,240620262
2021-03-31,15:40,FPC0,PIC0:,244861101112,29336137759,235307485,112523025
2021-03-31,15:40,FPC0,PIC1:,513774494720,67406137706,496104956,241994166
2021-03-31,15:45,FPC0,PIC0:,243203283312,29787676051,235132030,113223525
2021-03-31,15:45,FPC0,PIC1:,509135257080,68764256280,491386039,239514110
2021-03-31,15:50,FPC0,PIC0:,239431838360,30419846894,232177449,112698180
2021-03-31,15:50,FPC0,PIC1:,511499987416,67329725858,491201863,236707150
2021-03-31,15:55,FPC0,PIC0:,238191408664,30265894718,230553823,112708782
2021-03-31,15:55,FPC0,PIC1:,511020617824,69060027513,490088418,239213003
2021-03-31,16:00,FPC0,PIC0:,232043601448,30611803805,225636395,111039075
2021-03-31,16:00,FPC0,PIC1:,501431095032,67222317971,482669693,236558134
2021-03-31,16:05,FPC0,PIC0:,234801932352,31420141819,229717606,112967530
2021-03-31,16:05,FPC0,PIC1:,498908450792,66666191694,481896337,235737167
2021-03-31,16:10,FPC0,PIC0:,237670118016,31562226958,231391176,113851157
2021-03-31,16:10,FPC0,PIC1:,502808609552,66758568052,483515154,235321604
2021-03-31,16:15,FPC0,PIC0:,231446759720,31903913030,226843975,113474029
2021-03-31,16:15,FPC0,PIC1:,497809760176,68114357802,478558562,236463732
2021-03-31,16:20,FPC0,PIC0:,226396484848,32343552530,222118142,112237096
2021-03-31,16:20,FPC0,PIC1:,494461026536,65349330353,473782407,232300531
2021-03-31,16:25,FPC0,PIC0:,230257982288,30825235660,223478712,111049382
2021-03-31,16:25,FPC0,PIC1:,491998850872,63158685526,470326001,229253561
2021-03-31,16:30,FPC0,PIC0:,228046073104,30900491580,222112896,111469694
2021-03-31,16:30,FPC0,PIC1:,508654859656,62397557509,485648823,228237088
2021-03-31,16:35,FPC0,PIC0:,223867025968,30770371090,219237048,110921286
2021-03-31,16:35,FPC0,PIC1:,484338528632,62047208737,464161365,227727422
2021-03-31,16:40,FPC0,PIC0:,226956805896,30736433200,221646013,111148212
2021-03-31,16:40,FPC0,PIC1:,492542785640,62496345040,470142865,230360067
2021-03-31,16:45,FPC0,PIC0:,220715837000,30379174041,217178591,110025064
2021-03-31,16:45,FPC0,PIC1:,483303639896,62396427514,463525557,230041532
2021-03-31,16:50,FPC0,PIC0:,220132356800,30737944722,216737326,110766970
2021-03-31,16:50,FPC0,PIC1:,469812759752,61650504643,452503767,227496192
2021-03-31,16:55,FPC0,PIC0:,218315741976,28435543134,213993457,108314144
2021-03-31,16:55,FPC0,PIC1:,472097215480,60535617355,455148799,227167382
2021-03-31,17:00,FPC0,PIC0:,223647240832,29694952635,218050325,110010741
2021-03-31,17:00,FPC0,PIC1:,473289856592,61614463114,454956444,227927758
2021-03-31,17:05,FPC0,PIC0:,222405966600,30485394755,219160083,110797130
2021-03-31,17:05,FPC0,PIC1:,463875008960,65270420424,451564686,230185355
2021-03-31,17:10,FPC0,PIC0:,221148314176,30073048113,217095976,111020650
2021-03-31,17:10,FPC0,PIC1:,476282266600,63063563761,461737625,233754590
2021-03-31,17:15,FPC0,PIC0:,220453664776,31096258340,217755731,112197784
