DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-04,00:00,FPC0,PIC0:,191145621376,13252195932,150432690,58846642
2021-04-04,00:00,FPC0,PIC1:,446917373208,29374746847,348064311,136815456
2021-04-04,00:00,FPC1,PIC0:,408881136264,27823459064,319199473,124132066
2021-04-04,00:00,FPC1,PIC1:,455124124720,32190468004,356323638,140775601
2021-04-04,00:05,FPC0,PIC0:,191130813184,13558092606,150373732,59085868
2021-04-04,00:05,FPC0,PIC1:,445422191328,30746613890,348074482,137202765
2021-04-04,00:05,FPC1,PIC0:,402736385304,27540935814,315235485,123304459
2021-04-04,00:05,FPC1,PIC1:,449560203640,31083883981,352532987,138186243
2021-04-04,00:10,FPC0,PIC0:,193115627048,13566821868,150798885,58680745
2021-04-04,00:10,FPC0,PIC1:,442099462472,30176391647,344663769,135069656
2021-04-04,00:10,FPC1,PIC0:,404286343784,28443043825,316050903,123182858
2021-04-04,00:10,FPC1,PIC1:,450372186640,30438109216,352235978,136198541
2021-04-04,00:15,FPC0,PIC0:,189464374240,12939217162,148248898,56733546
2021-04-04,00:15,FPC0,PIC1:,441825519976,31064795965,344404951,134070439
2021-04-04,00:15,FPC1,PIC0:,394410658440,28546777521,309200705,120335155
2021-04-04,00:15,FPC1,PIC1:,451700039912,29409951188,352736815,134270367
2021-04-04,00:20,FPC0,PIC0:,196104608608,12059090567,153057386,53685049
2021-04-04,00:20,FPC0,PIC1:,414586028112,28208577090,322220006,126097655
2021-04-04,00:20,FPC1,PIC0:,375261009400,26226730912,292477535,113311131
2021-04-04,00:20,FPC1,PIC1:,424985699720,27463770998,330246925,125724668
2021-04-04,00:25,FPC0,PIC0:,170523197064,11673733019,133810683,51675591
2021-04-04,00:25,FPC0,PIC1:,395180890840,26974578556,306250025,119799266
2021-04-04,00:25,FPC1,PIC0:,353839499432,25638392146,276612411,108321947
2021-04-04,00:25,FPC1,PIC1:,411312412856,26361370542,319632199,121639981
2021-04-04,00:30,FPC0,PIC0:,166070907800,11688334891,129988877,49940562
2021-04-04,00:30,FPC0,PIC1:,382761936808,25515006906,296265067,113676036
2021-04-04,00:30,FPC1,PIC0:,349061135528,24934966772,271606555,106108312
2021-04-04,00:30,FPC1,PIC1:,388133903816,25073318731,301966029,114667520
2021-04-04,00:35,FPC0,PIC0:,160479139440,11191840015,125489496,47558296
2021-04-04,00:35,FPC0,PIC1:,369409559400,26086983049,286978969,110304496
2021-04-04,00:35,FPC1,PIC0:,337523944808,23521976308,262897373,103001647
2021-04-04,00:35,FPC1,PIC1:,376616034344,24109724416,292221659,110738116
2021-04-04,00:40,FPC0,PIC0:,157138874728,9929399840,121910699,46195135
2021-04-04,00:40,FPC0,PIC1:,361727993008,24549477354,279997824,107181441
2021-04-04,00:40,FPC1,PIC0:,323117465688,23284499300,251142203,99476598
2021-04-04,00:40,FPC1,PIC1:,366893977440,23663523356,284598944,107189413
2021-04-04,00:45,FPC0,PIC0:,157264229584,9970138615,122069750,46149191
2021-04-04,00:45,FPC0,PIC1:,355944249456,23752633239,276023426,105254737
2021-04-04,00:45,FPC1,PIC0:,323094887528,22979348489,251236359,97391070
2021-04-04,00:45,FPC1,PIC1:,365875323784,23683282295,284334359,107544498
2021-04-04,00:50,FPC0,PIC0:,160287330048,9705905248,124359342,46237896
2021-04-04,00:50,FPC0,PIC1:,366077729528,23839679395,283749299,106103037
2021-04-04,00:50,FPC1,PIC0:,322738324744,23200333352,251801079,96420409
2021-04-04,00:50,FPC1,PIC1:,363988611576,24960158586,284898485,107137338
2021-04-04,00:55,FPC0,PIC0:,160469934704,10124427278,124574262,46223632
2021-04-04,00:55,FPC0,PIC1:,358946529280,22908701283,277569138,104470124
2021-04-04,00:55,FPC1,PIC0:,320973903680,23328939373,250826596,95020937
2021-04-04,00:55,FPC1,PIC1:,354026535672,23914518636,277445545,104108186
2021-04-04,01:00,FPC0,PIC0:,148527002592,9294644159,115276488,42742666
2021-04-04,01:00,FPC0,PIC1:,333752018344,22722873181,259386363,99086900
2021-04-04,01:00,FPC1,PIC0:,297517679544,21307282182,232500723,87912962
2021-04-04,01:00,FPC1,PIC1:,336863232656,22533068696,263096518,100103694
2021-04-04,01:05,FPC0,PIC0:,148419860928,8964509701,115345374,41766818
2021-04-04,01:05,FPC0,PIC1:,325549775296,22014567306,252850808,96235796
2021-04-04,01:05,FPC1,PIC0:,299458963648,20449853681,233104042,87981026
2021-04-04,01:05,FPC1,PIC1:,331939601376,23334235036,259645508,98941821
2021-04-04,01:10,FPC0,PIC0:,143333343560,8531984595,111303283,40567621
2021-04-04,01:10,FPC0,PIC1:,319756418128,20601244742,247763948,92732191
2021-04-04,01:10,FPC1,PIC0:,284226234680,18699301116,221303573,83312107
2021-04-04,01:10,FPC1,PIC1:,316768905128,21685193119,247708863,95128108
2021-04-04,01:15,FPC0,PIC0:,137876606136,8396945366,107289743,39196926
2021-04-04,01:15,FPC0,PIC1:,311952833656,20002745778,241117857,90475538
2021-04-04,01:15,FPC1,PIC0:,271390636048,18156917612,211591634,80182732
2021-04-04,01:15,FPC1,PIC1:,306849205704,20755858990,239976243,91037030
2021-04-04,01:20,FPC0,PIC0:,126845728792,8169183749,99880969,36709765
2021-04-04,01:20,FPC0,PIC1:,300231210240,19778365482,232171036,87682507
2021-04-04,01:20,FPC1,PIC0:,262077409288,17240111416,204310369,77790016
2021-04-04,01:20,FPC1,PIC1:,297304302888,20540878751,232510761,89313073
2021-04-04,01:25,FPC0,PIC0:,124724243272,8727549677,97935039,36909081
2021-04-04,01:25,FPC0,PIC1:,285755926536,18750931427,220680561,83843391
2021-04-04,01:25,FPC1,PIC0:,249359637696,15972470416,194490640,74390700
2021-04-04,01:25,FPC1,PIC1:,288592568928,19744070775,225412044,87012442
2021-04-04,01:30,FPC0,PIC0:,120899809656,7863453315,94300177,34651734
2021-04-04,01:30,FPC0,PIC1:,276664079168,17740810595,213516094,80906312
2021-04-04,01:30,FPC1,PIC0:,239702350320,15731186352,186826592,72075027
2021-04-04,01:30,FPC1,PIC1:,271697650416,18245787509,213041504,82079949
2021-04-04,01:35,FPC0,PIC0:,118916638136,7527321654,92242777,34560204
2021-04-04,01:35,FPC0,PIC1:,272172107024,17213836314,209424968,79606422
