DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-05,00:00,FPC0,PIC0:,302987010760,22842220702,244140745,96321534
2021-04-05,00:00,FPC0,PIC1:,602211330928,46036502871,485534014,193549162
2021-04-05,00:00,FPC1,PIC0:,637992510288,49856012761,513232480,205921030
2021-04-05,00:00,FPC1,PIC1:,570380374584,44160833163,456596119,183236770
2021-04-05,00:05,FPC0,PIC0:,303252116384,22242721930,243543838,96215986
2021-04-05,00:05,FPC0,PIC1:,598821547472,45161872366,481002958,190154980
2021-04-05,00:05,FPC1,PIC0:,651653325672,49139064276,525607743,201595917
2021-04-05,00:05,FPC1,PIC1:,557714639464,43030274775,447005977,179439120
2021-04-05,00:10,FPC0,PIC0:,302493588968,20986355346,241509637,92745378
2021-04-05,00:10,FPC0,PIC1:,583448648592,43663028042,466892036,182578253
2021-04-05,00:10,FPC1,PIC0:,619921273896,46846256919,496167121,195280444
2021-04-05,00:10,FPC1,PIC1:,552819197448,41710295907,439840573,174950085
2021-04-05,00:15,FPC0,PIC0:,301510424256,20836743990,239862900,92029685
2021-04-05,00:15,FPC0,PIC1:,571679275792,42858821128,457288290,177421066
2021-04-05,00:15,FPC1,PIC0:,607173408368,44798984758,483588422,187109744
2021-04-05,00:15,FPC1,PIC1:,543939396352,40093979157,432035656,169894276
2021-04-05,00:20,FPC0,PIC0:,292200286256,19812943451,231463418,87924002
2021-04-05,00:20,FPC0,PIC1:,555020423944,41248431596,442713733,170450336
2021-04-05,00:20,FPC1,PIC0:,587632437384,42823882451,467732555,180814996
2021-04-05,00:20,FPC1,PIC1:,529128312464,40257597731,420507120,165711293
2021-04-05,00:25,FPC0,PIC0:,281767125976,19204683678,222646321,84813569
2021-04-05,00:25,FPC0,PIC1:,541805016864,40463008097,431769696,166073129
2021-04-05,00:25,FPC1,PIC0:,565338143336,41345015375,450383547,175692189
2021-04-05,00:25,FPC1,PIC1:,508135705712,38436165401,404196044,158656002
2021-04-05,00:30,FPC0,PIC0:,274758324048,18774497976,217604400,82449650
2021-04-05,00:30,FPC0,PIC1:,528797094384,41333519408,422124922,164014352
2021-04-05,00:30,FPC1,PIC0:,551981189040,39868013206,438977532,169738979
2021-04-05,00:30,FPC1,PIC1:,495335660096,34517079171,392806306,151839341
2021-04-05,00:35,FPC0,PIC0:,263039962408,18163607502,208615891,79049532
2021-04-05,00:35,FPC0,PIC1:,517871199480,40091905443,412380439,159408391
2021-04-05,00:35,FPC1,PIC0:,527547482128,38393066106,420533560,161895508
2021-04-05,00:35,FPC1,PIC1:,485436135360,35912022676,384414542,149585834
2021-04-05,00:40,FPC0,PIC0:,258322091888,18093853028,204573314,76629063
2021-04-05,00:40,FPC0,PIC1:,496872719568,36972452810,395204354,152549655
2021-04-05,00:40,FPC1,PIC0:,509020391400,37356373219,405052867,155751836
2021-04-05,00:40,FPC1,PIC1:,467124201368,35728543037,370611983,145987818
2021-04-05,00:45,FPC0,PIC0:,250238627232,17788046357,198001796,74354898
2021-04-05,00:45,FPC0,PIC1:,508235126736,36035636453,403600806,149322581
2021-04-05,00:45,FPC1,PIC0:,495833617032,36718763377,394074665,151762872
2021-04-05,00:45,FPC1,PIC1:,449474318688,32281585701,356378016,139726125
2021-04-05,00:50,FPC0,PIC0:,240315155952,17409468716,190971434,73082219
2021-04-05,00:50,FPC0,PIC1:,475702267368,35287991640,377703117,145041087
2021-04-05,00:50,FPC1,PIC0:,481935534840,34818903183,382670607,146355151
2021-04-05,00:50,FPC1,PIC1:,434690082024,31711362434,345346105,135319790
2021-04-05,00:55,FPC0,PIC0:,236102689392,16878920673,187178968,70530973
2021-04-05,00:55,FPC0,PIC1:,452817313400,33966061868,359731923,138672649
2021-04-05,00:55,FPC1,PIC0:,469644964160,34944181506,373492108,143243520
2021-04-05,00:55,FPC1,PIC1:,425390543392,30267281120,337215150,131018718
2021-04-05,01:00,FPC0,PIC0:,223106316080,15704601278,176959710,67478827
2021-04-05,01:00,FPC0,PIC1:,438836247712,33460821888,347886786,134600893
2021-04-05,01:00,FPC1,PIC0:,448973037600,32494652888,356850004,135900721
2021-04-05,01:00,FPC1,PIC1:,418428744160,29583513377,331473028,127993031
2021-04-05,01:05,FPC0,PIC0:,212905722928,14451399409,168473578,63844061
2021-04-05,01:05,FPC0,PIC1:,427315310272,31960798484,338842838,130084896
2021-04-05,01:05,FPC1,PIC0:,433606409480,32140185845,345156089,133469079
2021-04-05,01:05,FPC1,PIC1:,401538312672,28192019577,318176262,123853178
2021-04-05,01:10,FPC0,PIC0:,206163970768,14241566764,163553278,61532763
2021-04-05,01:10,FPC0,PIC1:,414639951240,32055805949,328816045,126493720
2021-04-05,01:10,FPC1,PIC0:,423255336688,30743810455,335985140,129391170
2021-04-05,01:10,FPC1,PIC1:,387241692352,26072843722,305927606,117395755
2021-04-05,01:15,FPC0,PIC0:,197177152416,14421191478,156626868,59625330
2021-04-05,01:15,FPC0,PIC1:,398235424456,31305479438,316437909,122501278
2021-04-05,01:15,FPC1,PIC0:,403842379344,30947249659,321891178,125074816
2021-04-05,01:15,FPC1,PIC1:,375938439560,25999722894,297237051,113870554
2021-04-05,01:20,FPC0,PIC0:,192355945272,13340839081,152232509,57344213
2021-04-05,01:20,FPC0,PIC1:,381396794320,29565962665,302957804,117929919
2021-04-05,01:20,FPC1,PIC0:,389383125192,30462181420,311161179,121586239
2021-04-05,01:20,FPC1,PIC1:,362162693872,25466410314,286494578,110089726
2021-04-05,01:25,FPC0,PIC0:,188178618544,12314258953,149030218,55917984
2021-04-05,01:25,FPC0,PIC1:,368807367320,29360566927,293776247,115707819
2021-04-05,01:25,FPC1,PIC0:,375480390848,27312928750,298692718,115237197
2021-04-05,01:25,FPC1,PIC1:,344688455344,24807934901,273211884,104789629
2021-04-05,01:30,FPC0,PIC0:,178660140760,12466082823,142147497,53990208
2021-04-05,01:30,FPC0,PIC1:,358315059168,27981806630,285033878,112416639
2021-04-05,01:30,FPC1,PIC0:,357368095048,26284625869,283828681,109848646
2021-04-05,01:30,FPC1,PIC1:,331951803448,24548894934,263527169,102058349
2021-04-05,01:35,FPC0,PIC0:,177669511840,11810273540,140647646,53547933
2021-04-05,01:35,FPC0,PIC1:,351217341928,27261983826,278696749,110120121
2021-04-05,01:35,FPC1,PIC0:,345127388136,24880164603,274200337,106748268
2021-04-05,01:35,FPC1,PIC1:,311836691608,23619656361,248630435,97207419
2021-04-05,01:40,FPC0,PIC0:,169023012048,11350614492,133866022,51050157
2021-04-05,01:40,FPC0,PIC1:,334191640864,25731500731,266322852,105121042
2021-04-05,01:40,FPC1,PIC0:,330983295496,24335663032,262533881,102010930
2021-04-05,01:40,FPC1,PIC1:,301813432072,22422951695,240314775,93355717
2021-04-05,01:45,FPC0,PIC0:,163927638104,11495683670,130141263,50389064
2021-04-05,01:45,FPC0,PIC1:,324551141632,25165829020,258257458,102350717
2021-04-05,01:45,FPC1,PIC0:,319550142272,24182688768,254260784,98652300
2021-04-05,01:45,FPC1,PIC1:,290548749976,20882255487,231151821,90613145
2021-04-05,01:50,FPC0,PIC0:,154457433128,10743655562,123033177,48266992
2021-04-05,01:50,FPC0,PIC1:,314359104120,25426746063,250593007,99728719
