DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-05,00:00,FPC0,PIC0:,361939547088,25373396275,280517104,110797507
2021-04-05,00:00,FPC0,PIC1:,782891982208,52333332829,606330066,237788448
2021-04-05,00:05,FPC0,PIC0:,357516479376,25045249696,277580140,109764873
2021-04-05,00:05,FPC0,PIC1:,759759692472,51851751054,589596315,231595781
2021-04-05,00:10,FPC0,PIC0:,348489096912,23958952871,270213394,105441943
2021-04-05,00:10,FPC0,PIC1:,737487293216,50022336316,569661170,222966721
2021-04-05,00:15,FPC0,PIC0:,330015805072,23166186116,255858092,100561406
2021-04-05,00:15,FPC0,PIC1:,709605741808,48993434753,548379680,215077817
2021-04-05,00:20,FPC0,PIC0:,322780798032,22021793428,249258078,97230731
2021-04-05,00:20,FPC0,PIC1:,684827560992,46436687834,528399526,206188851
2021-04-05,00:25,FPC0,PIC0:,313094505272,21225565719,241269099,94311248
2021-04-05,00:25,FPC0,PIC1:,656278883760,44958873267,507169068,196551754
2021-04-05,00:30,FPC0,PIC0:,301244086608,21106562650,232165342,89494605
2021-04-05,00:30,FPC0,PIC1:,629047252088,43907345459,486974187,189084877
2021-04-05,00:35,FPC0,PIC0:,289330775248,20378049021,223277306,85529223
2021-04-05,00:35,FPC0,PIC1:,608480375928,40596396609,470021677,181805245
2021-04-05,00:40,FPC0,PIC0:,275408991096,18675131495,212429361,82035469
2021-04-05,00:40,FPC0,PIC1:,589165813752,43752029285,455859781,183938328
2021-04-05,00:45,FPC0,PIC0:,260645116360,18794871227,201441959,78701589
2021-04-05,00:45,FPC0,PIC1:,563578644824,38600475011,435935995,169068562
2021-04-05,00:50,FPC0,PIC0:,251273353552,17370042119,193779438,75292160
2021-04-05,00:50,FPC0,PIC1:,541462581480,37198905278,419366517,163822533
2021-04-05,00:55,FPC0,PIC0:,249814014648,17821407581,192631653,73753890
2021-04-05,00:55,FPC0,PIC1:,527260908744,36615375597,408243053,158507947
2021-04-05,01:00,FPC0,PIC0:,240068482536,17259725589,185208193,71419710
2021-04-05,01:00,FPC0,PIC1:,501027894400,34537887215,388091218,150456632
2021-04-05,01:05,FPC0,PIC0:,226456319784,16541942471,175131823,68352349
2021-04-05,01:05,FPC0,PIC1:,484693509440,35378062989,376379606,147821108
2021-04-05,01:10,FPC0,PIC0:,222184269968,15776117014,171474350,66324550
2021-04-05,01:10,FPC0,PIC1:,471714536600,34670739588,366749345,142664039
2021-04-05,01:15,FPC0,PIC0:,209667326592,14813719607,162384202,62476548
2021-04-05,01:15,FPC0,PIC1:,458828240376,32865239921,355909969,138713209
2021-04-05,01:20,FPC0,PIC0:,198587009656,14352722121,154594663,60711224
2021-04-05,01:20,FPC0,PIC1:,438901273968,31306540355,340828466,132802533
2021-04-05,01:25,FPC0,PIC0:,195923415080,13767777171,152296399,59573743
2021-04-05,01:25,FPC0,PIC1:,426238132344,30679009861,331115837,128934862
2021-04-05,01:30,FPC0,PIC0:,188662333800,13320140313,146626451,57368374
2021-04-05,01:30,FPC0,PIC1:,397520469872,29426917963,310169504,122503172
2021-04-05,01:35,FPC0,PIC0:,174885151048,13087486770,136764911,54389088
2021-04-05,01:35,FPC0,PIC1:,380637595256,27692714520,296679247,116312417
2021-04-05,01:40,FPC0,PIC0:,169068616744,12522005756,132036923,52151854
2021-04-05,01:40,FPC0,PIC1:,360275266384,26653371272,281664424,112093466
2021-04-05,01:45,FPC0,PIC0:,159856522344,11221579378,125033779,49455623
2021-04-05,01:45,FPC0,PIC1:,351065419992,26435856266,274936223,109757967
2021-04-05,01:50,FPC0,PIC0:,155068906736,11414161029,121644226,48531069
2021-04-05,01:50,FPC0,PIC1:,340309980496,25928787092,267322822,107945602
2021-04-05,01:55,FPC0,PIC0:,155150056144,10872653863,121121408,47858609
2021-04-05,01:55,FPC0,PIC1:,324799647776,23940827261,254848942,102924578
2021-04-05,02:00,FPC0,PIC0:,147738980328,10576226027,115939901,45748511
2021-04-05,02:00,FPC0,PIC1:,311913536240,23987325923,245672920,101393216
2021-04-05,02:05,FPC0,PIC0:,141309695960,10513673155,111583305,45162507
2021-04-05,02:05,FPC0,PIC1:,299471703560,25251521019,238065369,100010954
2021-04-05,02:10,FPC0,PIC0:,138127881880,11212592043,109284873,44014154
2021-04-05,02:10,FPC0,PIC1:,289003454072,24380624783,229346275,95930742
2021-04-05,02:15,FPC0,PIC0:,130749597376,12175903947,104523964,43130998
2021-04-05,02:15,FPC0,PIC1:,271337265576,23015877815,215752131,90357072
2021-04-05,02:20,FPC0,PIC0:,124420229568,10945890819,99328206,41591064
2021-04-05,02:20,FPC0,PIC1:,264182573128,22122258677,210317553,88202664
2021-04-05,02:25,FPC0,PIC0:,124122803544,12360100382,99549605,41417300
2021-04-05,02:25,FPC0,PIC1:,257617711128,22042922610,205385721,85767273
2021-04-05,02:30,FPC0,PIC0:,117117445584,11262065227,94027244,39947931
2021-04-05,02:30,FPC0,PIC1:,239012248608,24121161682,193342430,83867848
2021-04-05,02:35,FPC0,PIC0:,116838611536,10386673283,92879390,39224981
2021-04-05,02:35,FPC0,PIC1:,229157331536,23917553576,185835200,81355326
2021-04-05,02:40,FPC0,PIC0:,112615268488,11167777630,90369769,39497893
2021-04-05,02:40,FPC0,PIC1:,222308759056,22272222219,180095938,78369003
2021-04-05,02:45,FPC0,PIC0:,111472531776,10720017379,89864368,38939951
2021-04-05,02:45,FPC0,PIC1:,214633300448,23594477697,175340632,77689594
2021-04-05,02:50,FPC0,PIC0:,103528781888,11519001554,84238422,37091187
2021-04-05,02:50,FPC0,PIC1:,206382212360,22535323075,169165489,75077556
2021-04-05,02:55,FPC0,PIC0:,93921457360,10066941073,76706044,34439001
2021-04-05,02:55,FPC0,PIC1:,193731428208,20617621141,158957262,70746633
2021-04-05,03:00,FPC0,PIC0:,91450551608,9847250843,74805247,33613334
2021-04-05,03:00,FPC0,PIC1:,182947347936,20714579615,152331958,69619041
2021-04-05,03:05,FPC0,PIC0:,86763625816,10037126491,71821501,33046452
2021-04-05,03:05,FPC0,PIC1:,182403263104,21842395506,151939374,70674870
2021-04-05,03:10,FPC0,PIC0:,85752792280,9909082098,70772377,32235573
2021-04-05,03:10,FPC0,PIC1:,177323724400,20517423838,146964744,68012960
2021-04-05,03:15,FPC0,PIC0:,82635117384,9017276186,68149067,31117296
2021-04-05,03:15,FPC0,PIC1:,172850749032,19552646067,142901557,66885563
2021-04-05,03:20,FPC0,PIC0:,82872887248,9689873467,68545666,31403399
2021-04-05,03:20,FPC0,PIC1:,169338329496,18780260613,140657071,65052149
2021-04-05,03:25,FPC0,PIC0:,77645559080,8966825066,64636007,30096255
