DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-04,00:00,FPC0,PIC0:,271485657896,22741012097,221706183,90405699
2021-04-04,00:00,FPC0,PIC1:,551546803904,48488233776,450260706,190221858
2021-04-04,00:05,FPC0,PIC0:,274813574792,22574660000,224526319,89910558
2021-04-04,00:05,FPC0,PIC1:,564145827848,49398859630,459523435,190452114
2021-04-04,00:10,FPC0,PIC0:,277972471848,22912716488,225611759,88372720
2021-04-04,00:10,FPC0,PIC1:,582531004824,48187585196,472603385,184824867
2021-04-04,00:15,FPC0,PIC0:,278405701416,22689643590,225212841,87838830
2021-04-04,00:15,FPC0,PIC1:,587061625552,48622842720,473592658,187170776
2021-04-04,00:20,FPC0,PIC0:,263526155608,21075062637,212953323,82853903
2021-04-04,00:20,FPC0,PIC1:,555598832048,46378752289,447411288,177072413
2021-04-04,00:25,FPC0,PIC0:,256785193360,22356726591,207729192,81811550
2021-04-04,00:25,FPC0,PIC1:,538779719736,44478721887,432729701,170163993
2021-04-04,00:30,FPC0,PIC0:,246444084832,20771683351,198725804,78722440
2021-04-04,00:30,FPC0,PIC1:,523659644960,43156471098,420795680,166098159
2021-04-04,00:35,FPC0,PIC0:,243481970552,20623441104,196542923,77086294
2021-04-04,00:35,FPC0,PIC1:,516586310944,42007550580,414135250,161891315
2021-04-04,00:40,FPC0,PIC0:,234252638808,20335832820,189075819,74633513
2021-04-04,00:40,FPC0,PIC1:,504757342960,39464573893,403988624,156173712
2021-04-04,00:45,FPC0,PIC0:,241839494200,19348920160,194153687,74456462
2021-04-04,00:45,FPC0,PIC1:,505374409376,40096872541,404659706,155398435
2021-04-04,00:50,FPC0,PIC0:,252854476472,19345988458,203100147,76883537
2021-04-04,00:50,FPC0,PIC1:,520605910984,41294365122,417294643,160471595
2021-04-04,00:55,FPC0,PIC0:,244280503680,19653767026,196863796,74572867
2021-04-04,00:55,FPC0,PIC1:,524468060672,41745144297,419223298,158714551
2021-04-04,01:00,FPC0,PIC0:,242669793952,18750472726,194169798,72089872
2021-04-04,01:00,FPC0,PIC1:,497358972256,39704671526,397641364,151418021
2021-04-04,01:05,FPC0,PIC0:,240511691664,18916190177,193016120,72796806
2021-04-04,01:05,FPC0,PIC1:,505782618216,39307301139,403527671,151267109
2021-04-04,01:10,FPC0,PIC0:,232731744096,17923519872,186357702,69612079
2021-04-04,01:10,FPC0,PIC1:,492924703216,36624016544,391769938,145502732
2021-04-04,01:15,FPC0,PIC0:,227557058360,19679753301,183196021,70523800
2021-04-04,01:15,FPC0,PIC1:,478696314608,35222687264,381082916,141822237
2021-04-04,01:20,FPC0,PIC0:,224919371352,18039347934,180412657,67624783
2021-04-04,01:20,FPC0,PIC1:,468165476288,35920115429,373080186,139515738
2021-04-04,01:25,FPC0,PIC0:,210598182672,16603479303,169243828,63165158
2021-04-04,01:25,FPC0,PIC1:,454507152216,34645847829,361758603,134416987
2021-04-04,01:30,FPC0,PIC0:,206030948712,15974863178,165548029,61477969
2021-04-04,01:30,FPC0,PIC1:,441739159952,32923077577,351360476,130552074
2021-04-04,01:35,FPC0,PIC0:,196586899304,14972627181,157738777,58688798
2021-04-04,01:35,FPC0,PIC1:,432703429048,32958041132,344075605,127768584
2021-04-04,01:40,FPC0,PIC0:,192899935440,15437466165,155191688,57751958
2021-04-04,01:40,FPC0,PIC1:,409302602128,31459011318,326478018,122033471
2021-04-04,01:45,FPC0,PIC0:,187934297384,14991941730,150913551,56126439
2021-04-04,01:45,FPC0,PIC1:,398044839840,30259120475,317038870,118520411
2021-04-04,01:50,FPC0,PIC0:,180842031160,14695031813,145693791,54637154
2021-04-04,01:50,FPC0,PIC1:,383598426304,29697133191,306120778,114825018
2021-04-04,01:55,FPC0,PIC0:,177881357448,13895236312,143118829,53224193
2021-04-04,01:55,FPC0,PIC1:,364268452664,29005639434,291807321,110283904
2021-04-04,02:00,FPC0,PIC0:,169436879496,13970978660,136347483,51404616
2021-04-04,02:00,FPC0,PIC1:,358513073776,27637336391,285878594,106745055
2021-04-04,02:05,FPC0,PIC0:,168564922568,13956274822,135933821,51473394
2021-04-04,02:05,FPC0,PIC1:,351332128696,28166613061,280975667,106456306
2021-04-04,02:10,FPC0,PIC0:,176654122720,13285134381,142333154,51071818
2021-04-04,02:10,FPC0,PIC1:,332992521080,27855878711,266772381,102384274
2021-04-04,02:15,FPC0,PIC0:,155233644072,13303842883,126372865,49022625
