DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-09,00:00,FPC0,PIC0:,204716157912,19500061502,163666999,70953830
2021-04-09,00:00,FPC0,PIC1:,626103966432,55502121454,497560736,214788589
2021-04-09,00:05,FPC0,PIC0:,212742084216,18716430084,169383185,69916117
2021-04-09,00:05,FPC0,PIC1:,626328334096,52199439703,496620960,204024065
2021-04-09,00:10,FPC0,PIC0:,212520784704,18200966175,167506844,66783354
2021-04-09,00:10,FPC0,PIC1:,604211487664,50355145979,476653176,190653826
2021-04-09,00:15,FPC0,PIC0:,201743164456,17499802755,158785643,64235307
2021-04-09,00:15,FPC0,PIC1:,594536494552,50687261430,469037041,186662829
2021-04-09,00:20,FPC0,PIC0:,192428146224,15596100260,151326920,59950646
2021-04-09,00:20,FPC0,PIC1:,578937260752,45817539708,454449728,177456286
2021-04-09,00:25,FPC0,PIC0:,187501768000,15062677713,147116540,58274925
2021-04-09,00:25,FPC0,PIC1:,554631068120,43687908968,434545743,169298650
2021-04-09,00:30,FPC0,PIC0:,180031668240,14321168780,140949570,55410912
2021-04-09,00:30,FPC0,PIC1:,526554718672,41984555660,413183050,161233426
2021-04-09,00:35,FPC0,PIC0:,170480691760,14242818272,133785108,53173963
2021-04-09,00:35,FPC0,PIC1:,515788191320,41594166905,403589567,155932219
2021-04-09,00:40,FPC0,PIC0:,159995168720,12681727593,125474238,49540368
2021-04-09,00:40,FPC0,PIC1:,499674606536,38893368056,389970311,149956745
2021-04-09,00:45,FPC0,PIC0:,153360769496,12143289548,120423281,47268146
2021-04-09,00:45,FPC0,PIC1:,475549606864,37737878466,372429588,143573060
2021-04-09,00:50,FPC0,PIC0:,150261491712,11592091157,117982004,46240776
2021-04-09,00:50,FPC0,PIC1:,452963056544,35811244009,354960702,137842579
2021-04-09,00:55,FPC0,PIC0:,144601521208,11713279886,113779745,45031708
2021-04-09,00:55,FPC0,PIC1:,431015504112,35703054171,337886242,131980372
2021-04-09,01:00,FPC0,PIC0:,136581729480,11351535423,108211191,43017452
2021-04-09,01:00,FPC0,PIC1:,420439134288,33639892044,328807176,127861532
2021-04-09,01:05,FPC0,PIC0:,133293968640,10501985753,105430244,41460055
2021-04-09,01:05,FPC0,PIC1:,415259748968,33973541489,325282547,128214668
2021-04-09,01:10,FPC0,PIC0:,128691178712,10285221629,101941335,40786840
2021-04-09,01:10,FPC0,PIC1:,405542427080,34894918981,318403671,126720274
2021-04-09,01:15,FPC0,PIC0:,126479208584,9654562335,100015381,39700806
2021-04-09,01:15,FPC0,PIC1:,390283164120,32932832896,306930423,122311124
2021-04-09,01:20,FPC0,PIC0:,121058532384,9729554241,95991852,38618454
2021-04-09,01:20,FPC0,PIC1:,376528845368,30855551389,296751675,118310386
2021-04-09,01:25,FPC0,PIC0:,118812256736,9384189954,94016670,37607690
2021-04-09,01:25,FPC0,PIC1:,383905216264,30257460682,302663217,114371660
2021-04-09,01:30,FPC0,PIC0:,106868534352,8892307338,85559982,35347356
2021-04-09,01:30,FPC0,PIC1:,344414062216,30873220045,272757289,111639922
2021-04-09,01:35,FPC0,PIC0:,101255907064,8335449605,81179121,33817127
2021-04-09,01:35,FPC0,PIC1:,332650660912,28247640418,262713862,106927874
2021-04-09,01:40,FPC0,PIC0:,101127795872,8759579568,80878860,33717399
2021-04-09,01:40,FPC0,PIC1:,311887708736,24985634376,246096602,99910731
2021-04-09,01:45,FPC0,PIC0:,99130802896,8661461054,79102498,32938050
2021-04-09,01:45,FPC0,PIC1:,302117144928,24493820674,238555402,96735101
2021-04-09,01:50,FPC0,PIC0:,100219916752,8347484791,79672380,33199383
2021-04-09,01:50,FPC0,PIC1:,296081251528,25117519814,234011611,95101176
2021-04-09,01:55,FPC0,PIC0:,93339604976,9253740552,74424124,32544674
2021-04-09,01:55,FPC0,PIC1:,287055854888,24617632660,227051063,92765981
2021-04-09,02:00,FPC0,PIC0:,90614239656,8396632906,72454997,31010499
2021-04-09,02:00,FPC0,PIC1:,274445232744,22705688064,216643965,89190508
2021-04-09,02:05,FPC0,PIC0:,87357286808,9175933069,70961227,31396746
2021-04-09,02:05,FPC0,PIC1:,263436929840,24163476419,210031150,89794824
2021-04-09,02:10,FPC0,PIC0:,82702946312,9538781566,67147423,30401817
2021-04-09,02:10,FPC0,PIC1:,251542786232,23130064767,199988747,85615136
2021-04-09,02:15,FPC0,PIC0:,75068614296,9196414103,61694855,28933483
2021-04-09,02:15,FPC0,PIC1:,239963229520,24466830753,191625180,83881357
2021-04-09,02:20,FPC0,PIC0:,73901951624,8981099933,60165489,27993953
2021-04-09,02:20,FPC0,PIC1:,236385215424,23486296219,189917858,80511463
2021-04-09,02:25,FPC0,PIC0:,73061388512,9728310317,60122698,28240108
2021-04-09,02:25,FPC0,PIC1:,220322801400,23998933077,177920423,79156470
2021-04-09,02:30,FPC0,PIC0:,65791226416,8872414688,54521150,25875022
2021-04-09,02:30,FPC0,PIC1:,207615801432,22780510575,168702927,75379976
2021-04-09,02:35,FPC0,PIC0:,64653071696,8230041611,53458040,25119536
2021-04-09,02:35,FPC0,PIC1:,202491973872,22933155326,164150868,74418988
2021-04-09,02:40,FPC0,PIC0:,61972864272,8575037384,51338772,24630132
2021-04-09,02:40,FPC0,PIC1:,189316095832,20974697322,153463153,70330204
2021-04-09,02:45,FPC0,PIC0:,57626906152,9035536106,48381271,24422053
2021-04-09,02:45,FPC0,PIC1:,178915533592,23124402315,146348597,69479576
2021-04-09,02:50,FPC0,PIC0:,55305127376,7524116944,46540882,22896357
2021-04-09,02:50,FPC0,PIC1:,179147472120,22211152274,146622481,69082833
2021-04-09,02:55,FPC0,PIC0:,53989859760,7860103051,45721398,22860072
2021-04-09,02:55,FPC0,PIC1:,170893085624,21880516462,140680901,66823043
2021-04-09,03:00,FPC0,PIC0:,51694903312,7207011521,43732726,21477664
2021-04-09,03:00,FPC0,PIC1:,161811777984,24959417170,134362444,67231424
2021-04-09,03:05,FPC0,PIC0:,50879589968,7867847513,43654720,22435728
2021-04-09,03:05,FPC0,PIC1:,160193051152,21207731320,133060910,64970330
2021-04-09,03:10,FPC0,PIC0:,50298088144,7474224765,42862200,21992234
2021-04-09,03:10,FPC0,PIC1:,155146340656,21201993896,129513654,63827989
2021-04-09,03:15,FPC0,PIC0:,49324181976,6643319034,41642029,21011617
2021-04-09,03:15,FPC0,PIC1:,150013179184,20100357294,124590408,61550809
2021-04-09,03:20,FPC0,PIC0:,47477862432,7953504131,41072296,21675595
2021-04-09,03:20,FPC0,PIC1:,144574340952,20869797656,121343169,61158476
2021-04-09,03:25,FPC0,PIC0:,46548117240,7489107618,40179913,20879516
2021-04-09,03:25,FPC0,PIC1:,139526952152,20016406456,117407653,59445033
2021-04-09,03:30,FPC0,PIC0:,43881500224,7323869647,37934134,20264894
2021-04-09,03:30,FPC0,PIC1:,137026094128,19969705936,116023990,58199160
2021-04-09,03:35,FPC0,PIC0:,43415191096,8183955166,37888093,20937012
2021-04-09,03:35,FPC0,PIC1:,128971597296,20010559159,110293798,57073037
2021-04-09,03:40,FPC0,PIC0:,40617057056,8478437470,36053860,20584906
2021-04-09,03:40,FPC0,PIC1:,125020210096,18479842520,106753170,55292488
2021-04-09,03:45,FPC0,PIC0:,40279155352,6724862976,35214823,19309267
2021-04-09,03:45,FPC0,PIC1:,119450576208,18580379320,103110784,53881562
2021-04-09,03:50,FPC0,PIC0:,38962298408,6472202673,34058083,18750084
2021-04-09,03:50,FPC0,PIC1:,118216870680,21543494129,104527011,56154927
2021-04-09,03:55,FPC0,PIC0:,39573757048,7163639402,35286665,19480461
2021-04-09,03:55,FPC0,PIC1:,112817990776,19197983306,98750815,53315701
2021-04-09,04:00,FPC0,PIC0:,37255675144,7246133043,33892289,19175675
2021-04-09,04:00,FPC0,PIC1:,114592729016,20918127269,99304201,54194307
2021-04-09,04:05,FPC0,PIC0:,37080474872,7412671698,33490967,18938272
2021-04-09,04:05,FPC0,PIC1:,113308639376,16836247026,97737352,52061406
2021-04-09,04:10,FPC0,PIC0:,36179546904,7423273561,32728997,18653019
2021-04-09,04:10,FPC0,PIC1:,110929614808,17734518529,95764629,52013928
2021-04-09,04:15,FPC0,PIC0:,33478550184,7122546898,30900901,17911294
2021-04-09,04:15,FPC0,PIC1:,108908238320,21089136567,95070548,54189098
2021-04-09,04:20,FPC0,PIC0:,32728982392,6700121847,30259465,17573372
2021-04-09,04:20,FPC0,PIC1:,104363115744,18815730992,92289216,51719719
2021-04-09,04:25,FPC0,PIC0:,32711316168,6162469787,30087653,17152507
2021-04-09,04:25,FPC0,PIC1:,106359175640,17103795927,92918611,50482718
2021-04-09,04:30,FPC0,PIC0:,33428172848,6131171163,30646286,17357574
2021-04-09,04:30,FPC0,PIC1:,103915556096,21260334688,92365476,52945964
2021-04-09,04:35,FPC0,PIC0:,34707976408,5240122051,30919115,16801777
2021-04-09,04:35,FPC0,PIC1:,104628887400,20998418854,93393235,53140164
2021-04-09,04:40,FPC0,PIC0:,32582438216,6236308121,29757453,16985399
2021-04-09,04:40,FPC0,PIC1:,102114491288,18016233358,90509869,50304489
2021-04-09,04:45,FPC0,PIC0:,32071708992,7407051247,30172940,17774869
2021-04-09,04:45,FPC0,PIC1:,97293576568,18603708919,87933379,49915099
2021-04-09,04:50,FPC0,PIC0:,32866577608,7393762193,30750409,17806076
2021-04-09,04:50,FPC0,PIC1:,96382324928,16447067136,86386960,48341807
2021-04-09,04:55,FPC0,PIC0:,32284658640,7388829736,30192624,17817630
2021-04-09,04:55,FPC0,PIC1:,97646904928,18298781660,88112816,49668076
2021-04-09,05:00,FPC0,PIC0:,32202755544,6608164590,29669283,17288377
2021-04-09,05:00,FPC0,PIC1:,96001504304,17589851916,86836966,48887381
2021-04-09,05:05,FPC0,PIC0:,31345854592,7066524228,29658930,17955280
2021-04-09,05:05,FPC0,PIC1:,98786944008,21525393708,90692845,52599457
2021-04-09,05:10,FPC0,PIC0:,33404256216,6635050617,30792867,17682546
