DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-03-31,00:00,FPC0,PIC0:,275348538760,17811489248,213294069,86095887
2021-03-31,00:00,FPC0,PIC1:,525545481824,38499217302,408006008,168714600
2021-03-31,00:05,FPC0,PIC0:,267006682304,18765289307,207019200,84831700
2021-03-31,00:05,FPC0,PIC1:,510070196872,36565533823,395269245,163834554
2021-03-31,00:10,FPC0,PIC0:,254377034048,17920100259,196532594,80519654
2021-03-31,00:10,FPC0,PIC1:,486917300472,35707056586,376924759,155086095
2021-03-31,00:15,FPC0,PIC0:,244610430376,16835765834,188352689,77516963
2021-03-31,00:15,FPC0,PIC1:,482220310896,36268234575,371515504,153368818
2021-03-31,00:20,FPC0,PIC0:,233982117944,15757470703,179930143,74123269
2021-03-31,00:20,FPC0,PIC1:,463141057792,34949324327,356195084,148527684
2021-03-31,00:25,FPC0,PIC0:,230312087544,16056928760,176847383,71857662
2021-03-31,00:25,FPC0,PIC1:,442899011480,33397226418,340642641,143058146
2021-03-31,00:30,FPC0,PIC0:,219834876336,16279123300,169232572,70190003
2021-03-31,00:30,FPC0,PIC1:,429105034448,30734653418,329868920,135893459
2021-03-31,00:35,FPC0,PIC0:,221373140792,15598089043,169976897,69472672
2021-03-31,00:35,FPC0,PIC1:,416204310416,31749866934,319906962,132916337
2021-03-31,00:40,FPC0,PIC0:,212468995464,14704931138,163378845,67206833
2021-03-31,00:40,FPC0,PIC1:,394890913272,30115045150,303886549,125989219
2021-03-31,00:45,FPC0,PIC0:,202562664192,13558275243,155721018,64096144
2021-03-31,00:45,FPC0,PIC1:,374377041008,31556118925,289715998,122829430
2021-03-31,00:50,FPC0,PIC0:,194297053656,12922020829,149484463,60887017
2021-03-31,00:50,FPC0,PIC1:,359432808432,28553049018,277619186,118497096
2021-03-31,00:55,FPC0,PIC0:,187973300256,12187892076,144394466,58760666
2021-03-31,00:55,FPC0,PIC1:,350530556136,25794971447,269486889,113763029
2021-03-31,01:00,FPC0,PIC0:,181753930504,11622010615,139937421,57353111
2021-03-31,01:00,FPC0,PIC1:,338168941160,24258509587,260199919,109367253
2021-03-31,01:05,FPC0,PIC0:,175785418616,12259700052,135627501,56759192
2021-03-31,01:05,FPC0,PIC1:,326255558944,22000158890,251153316,105523421
2021-03-31,01:10,FPC0,PIC0:,170918364672,12506921975,132080446,55067080
2021-03-31,01:10,FPC0,PIC1:,306234102688,20998110949,236272090,99792652
2021-03-31,01:15,FPC0,PIC0:,169948042192,11769536630,130410592,54557962
2021-03-31,01:15,FPC0,PIC1:,296165847776,20946661565,228750956,97367582
2021-03-31,01:20,FPC0,PIC0:,162899746368,12130617790,125852586,53401864
2021-03-31,01:20,FPC0,PIC1:,288216644752,21064838532,222546568,95264001
2021-03-31,01:25,FPC0,PIC0:,153972335000,11301071190,119243539,50448139
